City,Plan,Channel,SignupDate,AnnualIncome,Sessions,AvgBasket,Churn
CITY_068,basic,web,2024-08-16,37362.0,10,56.51,1
CITY_059,pro,web,2023-04-19,8156.0,7,37.88,0
CITY_135,basic,app,2023-04-01,26644.0,3,16.56,1
CITY_072,plus,app,2023-03-21,,3,53.89,1
CITY_141,plus,web,2024-11-05,18328.0,9,75.29,0
CITY_103,plus,app,2023-08-14,7133.0,5,7.21,1
CITY_022,basic,web,2023-11-24,9563.0,6,12.74,0
CITY_091,basic,web,2024-06-15,18853.0,4,8.47,0
CITY_073,basic,web,2024-09-02,34694.0,4,18.24,1
CITY_101,plus,app,2023-09-15,18068.0,7,38.07,1
CITY_104,plus,phone,2024-02-14,17811.0,10,31.96,1
CITY_102,basic,app,2024-02-27,,6,30.66,0
CITY_102,basic,web,2023-07-13,20411.0,6,24.89,0
CITY_157,plus,web,2024-04-26,12214.0,7,36.22,1
CITY_060,plus,app,2023-08-03,29954.0,6,8.99,0
CITY_015,pro,web,2023-12-12,43234.0,4,2.37,0
CITY_123,pro,web,2023-06-14,35205.0,8,13.25,1
CITY_133,basic,app,2023-05-23,11290.0,6,27.07,1
CITY_082,basic,phone,2024-12-29,35157.0,8,23.93,0
CITY_147,plus,web,2023-12-05,40850.0,5,16.34,0
CITY_051,basic,phone,2023-07-22,41385.0,7,56.33,0
CITY_128,basic,web,2023-12-09,30053.0,1,72.68,1
CITY_118,basic,web,2024-02-26,24011.0,4,24.31,0
CITY_073,plus,app,2024-01-12,27982.0,6,38.37,1
CITY_141,basic,app,2023-11-04,61159.0,3,26.58,0
CITY_169,basic,app,2023-03-09,19681.0,1,69.25,1
CITY_047,basic,app,2023-12-09,17416.0,8,56.36,1
CITY_005,plus,web,2023-12-14,,5,33.06,0
CITY_111,basic,web,2023-08-19,12558.0,5,16.67,0
CITY_144,plus,web,2023-01-15,,10,7.37,0
CITY_018,plus,app,2023-10-20,9249.0,6,58.69,1
CITY_108,basic,phone,2024-05-07,45813.0,10,42.31,1
CITY_128,basic,web,2023-08-08,51281.0,7,19.27,1
CITY_007,pro,web,2024-12-09,21156.0,9,70.04,1
CITY_112,basic,app,2024-04-16,17961.0,7,55.2,1
CITY_059,plus,web,2023-11-22,33110.0,6,22.83,0
CITY_022,plus,web,2023-05-17,,7,23.17,0
CITY_068,basic,web,2024-07-25,37139.0,6,4.78,1
CITY_099,basic,web,2024-03-20,36202.0,3,48.04,0
CITY_031,basic,web,2023-06-21,32860.0,9,27.19,1
CITY_054,plus,web,2024-04-16,23267.0,8,53.35,1
CITY_115,basic,app,2024-12-14,8974.0,6,29.19,1
CITY_010,plus,web,2023-09-02,20909.0,6,18.65,0
CITY_079,basic,app,2024-09-19,40588.0,5,27.9,0
CITY_152,basic,app,2024-03-06,30797.0,4,4.67,1
CITY_128,basic,web,2024-01-13,21948.0,8,8.1,0
CITY_158,basic,app,2023-07-24,152878.0,2,37.94,1
CITY_066,basic,web,2024-05-06,56473.0,4,47.74,1
CITY_177,plus,app,2023-09-24,36057.0,8,31.67,0
CITY_009,basic,web,2023-05-24,18772.0,6,35.79,1
CITY_072,basic,web,2023-11-25,12286.0,7,16.76,0
CITY_128,basic,web,2023-04-16,51684.0,5,5.29,0
CITY_150,basic,app,2024-06-24,41570.0,5,40.68,1
CITY_131,plus,web,2024-06-25,42708.0,8,20.54,0
CITY_130,plus,phone,2024-01-13,28404.0,6,21.21,1
CITY_014,basic,phone,2023-10-13,,3,33.74,1
CITY_072,basic,phone,2024-06-04,11708.0,5,30.84,1
CITY_083,basic,web,2024-03-29,34861.0,6,5.52,0
CITY_136,plus,web,2024-06-22,34874.0,5,107.71,0
CITY_081,basic,web,2024-07-20,14261.0,6,6.28,0
CITY_119,basic,phone,2024-06-14,38814.0,10,8.34,1
