Date,Revenue
2023-01-01,1343.77
2023-01-02,1678.78
2023-01-03,1569.62
2023-01-04,1477.31
2023-01-05,1574.78
2023-01-06,1801.55
2023-01-07,2144.37
2023-01-08,1352.95
2023-01-09,1646.0
2023-01-10,1337.78
2023-01-11,1672.32
2023-01-12,1613.73
2023-01-13,1951.13
2023-01-14,2092.56
2023-01-15,1347.96
2023-01-16,1645.22
2023-01-17,1580.09
2023-01-18,1546.0
2023-01-19,1634.07
2023-01-20,1983.11
2023-01-21,2040.46
2023-01-22,1283.15
2023-01-23,1667.2
2023-01-24,1481.12
2023-01-25,1423.05
2023-01-26,1602.49
2023-01-27,1895.98
2023-01-28,2039.67
2023-01-29,1309.12
2023-01-30,1666.41
2023-01-31,1645.13
2023-02-01,1601.7
2023-02-02,1641.18
2023-02-03,2027.51
2023-02-04,2315.61
2023-02-05,1431.79
2023-02-06,1748.88
2023-02-07,1692.93
2023-02-08,1638.51
2023-02-09,1670.1
2023-02-10,2067.83
2023-02-11,2308.08
2023-02-12,1578.31
2023-02-13,1613.65
2023-02-14,1577.94
2023-02-15,1617.24
2023-02-16,1618.16
2023-02-17,2090.74
2023-02-18,2398.16
2023-02-19,1461.63
2023-02-20,1913.09
2023-02-21,1752.51
2023-02-22,1796.12
2023-02-23,1872.53
2023-02-24,2238.62
2023-02-25,2212.6
2023-02-26,1613.68
2023-02-27,1881.88
2023-02-28,1551.21
2023-03-01,1813.37
2023-03-02,1851.93
2023-03-03,2273.82
2023-03-04,2388.4
2023-03-05,1598.7
2023-03-06,1902.72
2023-03-07,1676.86
2023-03-08,1884.61
2023-03-09,1914.39
2023-03-10,2296.14
2023-03-11,2437.81
2023-03-12,1739.15
2023-03-13,1978.9
2023-03-14,1789.05
2023-03-15,1936.16
2023-03-16,2111.49
2023-03-17,2518.51
2023-03-18,2351.12
2023-03-19,1764.69
2023-03-20,2014.17
2023-03-21,1843.14
2023-03-22,1812.43
2023-03-23,2164.75
2023-03-24,2187.56
2023-03-25,2721.18
2023-03-26,1848.9
2023-03-27,1836.16
