Department,YearsAtCompany,MonthlyIncome,OverTime,CommuteMinutes,JobSatisfaction,YearsSincePromotion,Attrition
Support,5.7,3267.0,No,33.0,3.0,0.9,0
Support,12.3,2083.0,No,9.0,2.0,1.9,0
Support,4.5,6717.0,Yes,15.0,4.1,2.2,0
R&D,8.3,2083.0,No,10.0,3.0,0.4,0
R&D,9.3,5375.0,No,9.0,3.4,3.7,0
Sales,14.8,6583.0,No,11.0,3.3,1.2,0
R&D,8.9,3325.0,No,17.0,3.0,3.3,0
Support,4.2,4442.0,No,22.0,2.7,1.2,1
Sales,9.7,5042.0,No,8.0,4.5,1.6,0
Support,5.0,6542.0,No,6.0,4.1,0.6,0
R&D,2.7,3142.0,No,22.0,4.7,1.3,1
Sales,7.4,5917.0,No,20.0,3.2,0.3,0
Sales,0.8,6492.0,Yes,6.0,3.6,0.5,1
Sales,3.9,5650.0,No,22.0,3.7,0.2,0
R&D,1.4,5667.0,No,24.0,3.0,0.7,0
R&D,10.1,7317.0,No,24.0,3.3,0.2,0
R&D,3.1,5767.0,No,5.0,1.8,8.3,1
Sales,9.1,5392.0,No,27.0,2.2,0.3,0
Sales,8.1,4925.0,No,8.0,2.4,1.7,0
Support,4.8,6408.0,Yes,3.0,2.2,1.8,0
Sales,7.1,4992.0,No,17.0,3.7,6.6,1
R&D,11.4,6417.0,Yes,7.0,3.7,5.6,0
Sales,3.3,5575.0,No,9.0,3.7,0.6,0
R&D,1.1,7133.0,No,7.0,3.1,3.8,0
Sales,8.1,4233.0,No,19.0,4.3,0.3,0
Support,13.4,5542.0,No,12.0,4.2,2.8,0
Sales,8.6,5950.0,No,15.0,3.9,1.5,0
Sales,10.5,6050.0,No,14.0,3.0,0.2,0
Support,8.5,7133.0,No,8.0,4.8,3.0,0
Sales,1.0,6017.0,No,16.0,2.2,1.8,0
R&D,4.6,6792.0,No,5.0,1.8,1.9,0
R&D,4.0,8375.0,No,13.0,2.1,0.6,1
Sales,7.1,6692.0,No,10.0,4.5,1.6,1
Support,8.4,3833.0,No,20.0,3.4,1.9,0
R&D,7.9,3275.0,No,3.0,2.8,2.2,0
Sales,11.3,6433.0,Yes,5.0,1.1,1.5,1
Support,4.9,4858.0,No,5.0,3.1,3.8,1
R&D,12.5,5858.0,No,27.0,2.4,0.4,0
Sales,1.3,5158.0,No,2.0,1.3,6.2,0
R&D,7.7,7392.0,No,8.0,4.3,4.5,0
Sales,2.4,7225.0,No,11.0,3.3,1.4,0
R&D,1.9,3725.0,No,8.0,4.6,3.9,0
R&D,12.8,5833.0,No,15.0,3.3,1.8,0
R&D,4.4,4967.0,No,5.0,3.8,4.6,0
R&D,6.7,3450.0,No,25.0,2.7,0.6,1
R&D,18.7,6392.0,No,7.0,3.9,2.4,0
R&D,3.6,5208.0,No,13.0,2.9,1.2,0
Sales,14.9,6092.0,No,5.0,3.9,1.1,0
Sales,3.1,9142.0,Yes,35.0,3.5,6.9,1
R&D,5.5,7417.0,No,8.0,2.3,2.2,0
Sales,3.1,7083.0,Yes,2.0,3.3,0.1,0
R&D,7.0,4808.0,No,16.0,3.5,0.8,0
R&D,4.7,3642.0,No,31.0,2.6,1.3,0
Support,3.8,7300.0,No,15.0,3.2,1.8,0
R&D,4.9,4967.0,No,6.0,4.2,1.7,0
R&D,13.0,5483.0,Yes,6.0,4.5,2.6,0
Support,19.4,4858.0,Yes,6.0,3.4,1.5,0
Sales,3.9,5567.0,No,16.0,1.2,4.0,0
R&D,13.0,9033.0,Yes,11.0,4.0,1.2,0
R&D,2.9,4950.0,Yes,33.0,5.0,1.3,0
R&D,8.4,4992.0,No,12.0,3.1,2.7,0
R&D,4.6,5725.0,No,9.0,2.5,2.1,0
R&D,6.4,5850.0,No,25.0,3.6,2.1,0
Support,5.7,3617.0,No,8.0,3.5,0.7,0
R&D,4.0,2750.0,No,9.0,4.2,1.3,0
Sales,0.6,4542.0,Yes,7.0,2.7,0.4,0
Support,9.5,5092.0,No,2.0,5.0,2.7,0
Sales,8.3,4225.0,No,20.0,4.2,2.8,0
R&D,13.0,3900.0,No,2.0,2.4,2.3,0
R&D,10.9,3992.0,No,9.0,4.3,2.4,0
R&D,3.2,4808.0,No,6.0,3.2,3.0,0
Support,3.8,5217.0,Yes,9.0,4.0,1.1,1
Sales,3.6,2942.0,No,2.0,3.7,0.7,0
R&D,6.7,4567.0,No,8.0,3.4,0.8,0
Support,0.8,5925.0,Yes,7.0,3.6,1.3,0
Support,6.6,5200.0,No,1.0,2.9,1.4,0
Sales,8.3,3342.0,No,7.0,2.6,2.4,0
R&D,3.1,4850.0,Yes,25.0,3.1,2.6,1
R&D,9.3,5350.0,No,19.0,3.1,1.4,0
R&D,19.6,6533.0,No,6.0,3.7,6.3,0
R&D,7.3,2942.0,No,23.0,3.5,1.6,0
Support,8.2,6408.0,Yes,12.0,1.8,2.9,0
R&D,6.5,4683.0,Yes,12.0,4.1,0.6,0
Sales,1.4,5683.0,No,20.0,3.3,4.5,0
Sales,11.7,6400.0,No,6.0,4.1,1.7,0
Support,6.1,4067.0,Yes,4.0,4.0,1.5,0
Sales,8.5,4167.0,No,15.0,3.6,0.4,0
Sales,7.0,5200.0,No,6.0,3.9,1.7,0
R&D,6.0,6458.0,No,15.0,2.0,2.3,0
R&D,5.0,4550.0,No,2.0,4.8,0.6,0
R&D,7.3,3250.0,Yes,21.0,5.0,0.6,0
Support,8.3,4325.0,No,7.0,3.9,0.9,0
R&D,10.1,5942.0,No,4.0,2.8,0.4,0
Support,3.1,7100.0,Yes,25.0,4.0,2.4,1
Support,3.6,4600.0,No,12.0,3.0,3.2,0
R&D,3.6,4875.0,No,15.0,4.9,4.6,0
Sales,2.8,5092.0,No,5.0,2.9,3.4,0
R&D,5.8,5158.0,Yes,5.0,2.2,1.2,0
Sales,5.6,3942.0,No,13.0,2.5,3.0,1
R&D,16.6,4692.0,No,4.0,2.6,4.4,0
R&D,7.8,5675.0,Yes,16.0,4.0,2.3,0
R&D,1.5,5508.0,Yes,25.0,3.3,3.0,0
R&D,10.8,5383.0,Yes,28.0,3.6,0.7,0
R&D,6.7,3850.0,Yes,15.0,3.0,0.7,0
Support,5.9,4533.0,No,19.0,4.6,2.2,0
Support,7.1,4283.0,No,6.0,3.3,0.6,1
R&D,8.6,6925.0,Yes,12.0,3.5,1.8,0
Sales,9.5,7525.0,No,15.0,4.8,4.2,0
R&D,2.2,5858.0,No,5.0,3.6,1.6,0
R&D,15.8,7733.0,No,8.0,2.8,0.9,1
Support,3.7,4917.0,No,7.0,3.1,6.5,0
Sales,3.9,4925.0,Yes,9.0,4.4,6.1,1
R&D,6.0,3417.0,Yes,6.0,3.7,1.4,0
Sales,6.4,5700.0,No,16.0,2.6,7.9,0
R&D,3.2,4675.0,Yes,5.0,4.4,1.2,0
Sales,1.4,5492.0,No,6.0,2.0,8.2,0
Sales,9.7,6083.0,No,9.0,1.3,0.9,0
Support,5.5,5000.0,No,5.0,2.4,3.4,0
R&D,4.6,3683.0,Yes,20.0,1.5,4.8,0
R&D,6.2,5292.0,No,6.0,3.1,5.2,0
Sales,4.0,5250.0,No,12.0,3.4,2.5,0
R&D,8.3,5400.0,Yes,7.0,3.1,2.7,0
R&D,1.5,6367.0,No,13.0,2.8,0.4,0
R&D,4.8,5042.0,Yes,7.0,2.3,5.3,1
R&D,10.7,4967.0,No,19.0,4.2,3.0,0
Sales,4.1,7942.0,Yes,11.0,1.5,0.7,1
R&D,10.4,6967.0,No,6.0,4.0,1.6,0
Support,11.1,5233.0,No,7.0,3.6,2.4,0
R&D,9.2,3983.0,No,12.0,3.3,1.7,0
R&D,9.6,4708.0,Yes,2.0,3.8,2.6,0
Support,0.7,5942.0,Yes,12.0,1.9,1.0,0
R&D,8.5,6625.0,No,6.0,4.3,0.3,0
R&D,7.3,8958.0,No,7.0,3.8,1.0,0
Sales,14.6,5017.0,No,9.0,4.4,0.4,0
R&D,7.9,5608.0,No,4.0,1.4,4.1,0
R&D,2.0,4858.0,No,20.0,3.6,0.5,0
Sales,7.2,5508.0,No,37.0,3.2,1.1,0
R&D,8.4,4825.0,Yes,23.0,1.1,8.6,1
R&D,0.9,3808.0,No,6.0,3.0,4.4,0
R&D,6.8,6917.0,Yes,2.0,3.4,0.8,0
Sales,6.3,5592.0,No,19.0,2.6,1.6,0
Sales,7.8,7308.0,No,34.0,3.7,1.8,0
R&D,11.9,4658.0,No,2.0,3.9,2.0,0
Support,6.9,5792.0,No,5.0,2.9,4.6,0
R&D,2.3,6383.0,No,16.0,3.0,5.9,1
Support,14.5,2625.0,No,6.0,4.1,1.0,0
Sales,4.5,3450.0,No,3.0,2.4,3.3,0
Support,3.8,6525.0,No,4.0,3.8,0.8,0
Sales,3.3,5567.0,No,17.0,4.6,2.1,0
Support,1.3,2692.0,No,11.0,3.3,0.8,0
Sales,3.7,4325.0,Yes,17.0,3.7,3.3,1
R&D,4.7,3858.0,No,3.0,3.3,6.2,0
R&D,6.2,4708.0,No,14.0,4.1,0.7,0
