InvoiceNo,StockCode,Description,Category,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536001,S1006,Milk Frother,Equipment,3,2024-01-17,31.0,12250.0,Netherlands
536001,S1000,Cold Brew Concentrate,Beverage,4,2024-01-17,12.5,12250.0,Netherlands
536001,S1002,Espresso Beans 1kg,Beans,11,2024-01-17,24.0,12250.0,Netherlands
536002,S1006,Milk Frother,Equipment,2,2024-01-23,31.0,12199.0,United Kingdom
536003,S1005,Decaf Beans 1kg,Beans,4,2024-01-10,22.5,12187.0,United Kingdom
536004,S1004,Travel Tumbler,Merch,7,2024-01-15,18.9,12191.0,United Kingdom
536004,S1007,Gift Card,Other,10,2024-01-15,25.0,12191.0,United Kingdom
536005,S1003,Paper Filters x100,Supplies,3,2024-01-10,4.25,12317.0,Germany
536005,S1006,Milk Frother,Equipment,2,2024-01-10,31.0,12317.0,Germany
536005,S1006,Milk Frother,Equipment,8,2024-01-10,31.0,12317.0,Germany
536006,S1004,Travel Tumbler,Merch,12,2024-01-01,18.9,12177.0,United Kingdom
536007,S1003,Paper Filters x100,Supplies,7,2024-01-24,4.25,12186.0,Netherlands
536007,S1002,Espresso Beans 1kg,Beans,6,2024-01-24,24.0,,Netherlands
536008,S1001,Ceramic Mug,Merch,12,2024-01-01,8.75,12397.0,United Kingdom
536009,S1003,Paper Filters x100,Supplies,1,2024-01-21,4.25,12276.0,United Kingdom
536009,S1004,Travel Tumbler,Merch,10,2024-01-21,18.9,12276.0,United Kingdom
536010,S1007,Gift Card,Other,3,2024-01-08,25.0,12213.0,United Kingdom
536010,S1004,Travel Tumbler,Merch,12,2024-01-08,18.9,12213.0,United Kingdom
536010,S1006,Milk Frother,Equipment,9,2024-01-08,31.0,12213.0,United Kingdom
536011,S1001,Ceramic Mug,Merch,7,2024-01-14,8.75,12255.0,France
536012,S1002,Espresso Beans 1kg,Beans,8,2024-01-25,24.0,12245.0,United Kingdom
536012,S1004,Travel Tumbler,Merch,2,2024-01-25,18.9,12245.0,United Kingdom
536012,S1000,Cold Brew Concentrate,Beverage,8,2024-01-25,12.5,12245.0,United Kingdom
536013,S1003,Paper Filters x100,Supplies,10,2024-01-07,4.25,12155.0,United Kingdom
536014,S1004,Travel Tumbler,Merch,6,2024-01-28,18.9,12230.0,United Kingdom
536014,S1004,Travel Tumbler,Merch,6,2024-01-28,18.9,12230.0,United Kingdom
536015,S1004,Travel Tumbler,Merch,6,2024-01-27,18.9,12255.0,Germany
536016,S1000,Cold Brew Concentrate,Beverage,5,2024-01-12,12.5,12020.0,United Kingdom
536016,S1007,Gift Card,Other,12,2024-01-12,25.0,12020.0,United Kingdom
536016,S1001,Ceramic Mug,Merch,1,2024-01-12,8.75,12020.0,United Kingdom
536017,S1000,Cold Brew Concentrate,Beverage,8,2024-01-14,12.5,12268.0,United Kingdom
536017,S1004,Travel Tumbler,Merch,2,2024-01-14,18.9,12268.0,United Kingdom
536017,S1006,Milk Frother,Equipment,11,2024-01-14,31.0,12268.0,United Kingdom
536018,S1004,Travel Tumbler,Merch,4,2024-01-26,18.9,,Ireland
536018,S1001,Ceramic Mug,Merch,7,2024-01-26,8.75,12242.0,Ireland
536018,S1001,Ceramic Mug,Merch,10,2024-01-26,8.75,12242.0,Ireland
536019,S1003,Paper Filters x100,Supplies,11,2024-01-02,4.25,12371.0,Germany
536020,S1003,Paper Filters x100,Supplies,12,2024-01-16,4.25,12233.0,Germany
536021,S1007,Gift Card,Other,11,2024-01-20,25.0,12164.0,United Kingdom
536022,S1002,Espresso Beans 1kg,Beans,6,2024-01-16,24.0,12304.0,United Kingdom
536022,S1006,Milk Frother,Equipment,1,2024-01-16,31.0,12304.0,United Kingdom
536023,S1007,Gift Card,Other,2,2024-01-23,25.0,12010.0,United Kingdom
536024,S1003,Paper Filters x100,Supplies,1,2024-01-19,4.25,12043.0,Ireland
536024,S1004,Travel Tumbler,Merch,6,2024-01-19,18.9,12043.0,Ireland
536024,S1006,Milk Frother,Equipment,9,2024-01-19,31.0,12043.0,Ireland
536025,S1006,Milk Frother,Equipment,5,2024-01-08,31.0,12137.0,Germany
536025,S1007,Gift Card,Other,7,2024-01-08,25.0,12137.0,Germany
536025,S1004,Travel Tumbler,Merch,10,2024-01-08,18.9,12137.0,Germany
536026,S1007,Gift Card,Other,4,2024-01-05,25.0,12399.0,Netherlands
536026,S1000,Cold Brew Concentrate,Beverage,7,2024-01-05,12.5,12399.0,Netherlands
536027,S1006,Milk Frother,Equipment,6,2024-01-19,31.0,12301.0,France
536028,S1005,Decaf Beans 1kg,Beans,6,2024-01-01,22.5,12388.0,France
536028,S1006,Milk Frother,Equipment,12,2024-01-01,31.0,12388.0,France
536028,S1004,Travel Tumbler,Merch,2,2024-01-01,18.9,12388.0,France
536029,S1007,Gift Card,Other,5,2024-01-06,25.0,12290.0,United Kingdom
536030,S1007,Gift Card,Other,11,2024-01-10,25.0,12157.0,United Kingdom
536031,S1000,Cold Brew Concentrate,Beverage,12,2024-01-04,12.5,12229.0,United Kingdom
536032,S1004,Travel Tumbler,Merch,12,2024-01-28,18.9,12080.0,United Kingdom
536033,S1004,Travel Tumbler,Merch,7,2024-01-22,18.9,12208.0,Netherlands
536033,S1006,Milk Frother,Equipment,6,2024-01-22,31.0,12208.0,Netherlands
536033,S1007,Gift Card,Other,11,2024-01-22,25.0,12208.0,Netherlands
536034,S1000,Cold Brew Concentrate,Beverage,3,2024-01-26,12.5,12285.0,United Kingdom
536035,S1005,Decaf Beans 1kg,Beans,4,2024-01-16,22.5,12171.0,United Kingdom
536035,S1006,Milk Frother,Equipment,10,2024-01-16,31.0,12171.0,United Kingdom
536035,S1005,Decaf Beans 1kg,Beans,9,2024-01-16,22.5,12171.0,United Kingdom
536036,S1007,Gift Card,Other,4,2024-01-18,25.0,12053.0,France
536036,S1002,Espresso Beans 1kg,Beans,8,2024-01-18,24.0,12053.0,France
536036,S1003,Paper Filters x100,Supplies,9,2024-01-18,4.25,12053.0,France
536037,S1002,Espresso Beans 1kg,Beans,11,2024-01-14,24.0,12081.0,United Kingdom
