AvgBasket,OrdersPerMonth,DaysSinceLast,LinesPerOrder,TrueType
13.27,8.82,11.8,3.93,weekly regulars
21.59,2.61,45.09,1.96,bargain hunters
24.59,0.52,64.28,1.16,lapsed
110.83,1.99,5.39,7.05,bulk buyers
25.55,8.17,13.21,3.01,weekly regulars
38.46,8.89,9.41,2.74,weekly regulars
34.29,8.96,12.55,4.31,weekly regulars
17.61,7.85,3.93,3.38,weekly regulars
34.5,3.19,30.46,1.69,bargain hunters
32.23,8.87,11.04,3.98,weekly regulars
26.65,10.83,16.94,3.52,weekly regulars
15.78,1.99,46.58,1.76,bargain hunters
14.47,0.28,111.29,0.9,lapsed
16.39,1.46,62.54,1.58,bargain hunters
24.42,0.26,83.23,1.31,lapsed
17.3,0.91,46.86,1.21,bargain hunters
155.12,2.75,20.35,2.27,unclassifiable
46.61,9.94,9.48,3.73,weekly regulars
33.56,5.41,10.97,2.31,weekly regulars
23.22,6.53,15.96,3.03,weekly regulars
19.51,2.11,28.04,1.49,bargain hunters
21.37,0.3,54.48,0.61,lapsed
112.77,1.57,7.74,6.77,bulk buyers
42.69,7.38,12.85,2.37,weekly regulars
265.03,0.47,72.18,5.98,unclassifiable
15.24,1.54,55.79,0.65,bargain hunters
10.86,1.13,37.88,1.33,bargain hunters
11.78,1.7,59.4,0.78,bargain hunters
40.94,6.71,15.09,2.82,weekly regulars
25.04,5.49,6.91,2.9,weekly regulars
20.36,1.76,55.15,1.16,bargain hunters
18.11,3.43,46.39,1.52,bargain hunters
20.52,0.62,41.1,0.98,lapsed
115.66,1.87,6.61,5.8,bulk buyers
108.97,8.13,16.4,0.21,unclassifiable
22.75,1.75,19.14,1.06,bargain hunters
14.1,1.84,50.93,1.8,bargain hunters
15.54,2.09,39.55,1.17,bargain hunters
21.52,8.07,12.67,3.03,weekly regulars
220.9,1.52,7.71,5.36,bulk buyers
19.67,2.75,41.68,1.64,bargain hunters
27.79,0.44,67.69,1.17,lapsed
20.32,2.54,24.41,0.76,bargain hunters
20.27,0.26,73.56,1.15,lapsed
20.12,2.4,71.64,1.61,bargain hunters
31.7,6.82,13.28,2.47,weekly regulars
67.39,3.65,11.82,7.51,unclassifiable
105.5,1.01,9.77,7.63,bulk buyers
18.29,2.93,33.77,1.44,bargain hunters
13.45,2.11,45.7,1.43,bargain hunters
45.56,3.27,14.41,2.68,unclassifiable
23.44,0.39,62.59,1.2,lapsed
21.82,2.56,45.69,1.07,bargain hunters
32.15,9.22,14.6,2.94,weekly regulars
19.0,7.27,10.99,4.42,weekly regulars
27.56,12.55,18.88,2.16,weekly regulars
174.62,1.74,13.72,3.42,bulk buyers
22.25,6.96,15.06,2.9,weekly regulars
42.27,6.75,11.72,3.3,weekly regulars
24.14,2.8,30.54,1.09,bargain hunters
18.74,2.37,46.99,1.13,bargain hunters
30.0,9.32,22.03,3.01,weekly regulars
30.31,9.16,15.07,2.33,weekly regulars
27.15,2.76,46.68,1.43,bargain hunters
51.35,8.54,8.21,3.87,weekly regulars
88.79,6.29,72.64,3.86,unclassifiable
129.34,1.09,11.65,7.37,bulk buyers
82.06,9.88,15.06,2.69,weekly regulars
20.88,0.3,86.04,1.38,lapsed
11.51,2.37,36.03,1.34,bargain hunters
21.44,1.21,46.67,1.66,bargain hunters
10.53,2.17,50.33,0.77,bargain hunters
47.16,4.8,10.37,2.8,weekly regulars
62.81,8.71,11.31,4.5,weekly regulars
29.78,9.33,10.13,2.49,weekly regulars
24.0,0.53,88.01,1.04,lapsed
177.47,0.95,10.66,7.08,bulk buyers
15.89,1.82,65.71,1.2,bargain hunters
37.91,5.0,10.29,3.17,weekly regulars
35.3,6.98,11.37,2.86,weekly regulars
25.55,0.61,59.08,1.25,lapsed
45.77,8.24,15.12,3.11,weekly regulars
77.44,1.84,15.42,7.6,bulk buyers
146.08,1.22,9.44,7.01,bulk buyers
37.37,6.61,9.71,3.27,weekly regulars
100.42,2.01,6.5,4.88,bulk buyers
19.37,1.02,26.4,0.63,bargain hunters
35.79,6.95,16.56,2.89,weekly regulars
37.59,1.98,58.32,1.33,bargain hunters
17.37,1.79,59.51,1.5,bargain hunters
24.16,2.39,40.47,1.61,bargain hunters
20.84,2.01,37.82,1.74,bargain hunters
106.11,1.58,7.84,4.66,bulk buyers
35.29,8.05,13.26,3.96,weekly regulars
35.46,7.39,18.17,2.42,weekly regulars
25.73,0.32,71.86,1.19,lapsed
123.54,1.55,8.31,5.55,bulk buyers
13.73,2.69,44.79,1.36,bargain hunters
129.29,0.94,10.26,7.2,bulk buyers
22.37,0.5,22.62,1.24,lapsed
18.02,1.8,46.71,1.36,bargain hunters
36.99,6.86,11.28,2.96,weekly regulars
18.67,1.36,64.88,1.72,bargain hunters
19.85,3.59,52.74,1.53,bargain hunters
80.3,1.54,6.89,8.55,bulk buyers
109.61,1.37,13.04,9.28,bulk buyers
180.38,1.49,9.67,5.73,bulk buyers
25.23,0.2,36.5,1.11,lapsed
15.18,2.02,55.53,1.54,bargain hunters
13.71,2.06,36.07,1.28,bargain hunters
43.68,10.55,5.72,4.23,weekly regulars
20.46,0.31,51.82,1.43,lapsed
19.17,0.43,50.88,0.56,lapsed
20.46,2.02,33.92,1.25,bargain hunters
41.55,7.52,8.54,3.16,weekly regulars
45.23,9.76,8.23,3.48,weekly regulars
20.38,2.32,47.06,1.58,bargain hunters
13.25,4.56,79.63,4.82,unclassifiable
17.36,3.26,41.65,1.73,bargain hunters
17.61,1.74,42.22,1.58,bargain hunters
32.46,8.5,13.2,4.24,weekly regulars
121.54,1.61,9.66,7.01,bulk buyers
17.15,2.04,50.96,1.81,bargain hunters
17.86,5.24,10.88,2.5,weekly regulars
24.24,0.95,52.98,1.32,bargain hunters
26.73,0.53,88.58,1.12,lapsed
17.96,2.93,46.45,1.29,bargain hunters
33.08,0.45,101.18,1.28,lapsed
12.65,2.3,23.93,2.06,bargain hunters
12.04,0.26,82.08,0.69,lapsed
19.48,1.97,34.78,1.69,bargain hunters
27.11,0.5,84.28,1.69,lapsed
130.4,0.93,10.12,8.17,bulk buyers
34.09,7.41,14.0,2.1,weekly regulars
53.59,7.3,8.89,4.33,weekly regulars
78.21,1.55,10.87,4.34,bulk buyers
20.8,0.53,49.83,1.59,lapsed
14.16,1.4,37.67,1.34,bargain hunters
62.03,3.77,3.68,0.06,unclassifiable
22.99,0.33,76.06,1.23,lapsed
33.09,4.59,37.65,2.21,unclassifiable
41.0,3.18,7.86,4.25,weekly regulars
13.67,2.49,63.71,1.24,bargain hunters
20.57,0.98,65.04,1.77,bargain hunters
131.02,1.07,6.73,9.07,bulk buyers
45.14,4.92,41.27,1.28,unclassifiable
19.77,0.56,46.97,0.85,lapsed
116.93,1.66,7.83,6.85,bulk buyers
102.97,1.79,9.45,5.27,bulk buyers
30.38,0.6,69.48,1.3,lapsed
229.29,1.11,4.61,5.06,bulk buyers
21.04,11.48,19.4,2.87,weekly regulars
189.89,1.49,8.71,3.73,bulk buyers
46.76,8.53,16.35,3.08,weekly regulars
73.85,0.99,4.81,5.99,bulk buyers
17.47,2.46,13.65,1.64,bargain hunters
22.18,1.7,51.56,1.41,bargain hunters
24.73,9.04,13.77,4.04,weekly regulars
25.23,12.61,10.39,3.78,weekly regulars
87.69,1.11,7.12,8.42,bulk buyers
38.5,2.62,17.64,2.55,weekly regulars
17.7,1.86,53.32,1.26,bargain hunters
107.31,1.45,9.55,4.77,bulk buyers
34.17,6.66,10.25,3.77,weekly regulars
103.88,1.21,1.33,5.19,bulk buyers
17.1,2.17,36.14,1.24,bargain hunters
7.28,1.91,36.25,1.62,bargain hunters
26.66,7.09,9.37,3.26,weekly regulars
14.68,0.51,67.52,0.98,lapsed
24.26,0.36,70.95,1.11,lapsed
23.73,13.16,16.38,3.15,weekly regulars
32.61,9.72,15.3,3.32,weekly regulars
55.72,0.45,95.22,1.13,lapsed
25.75,2.49,40.32,1.45,bargain hunters
41.77,0.53,88.32,1.14,lapsed
137.44,1.63,9.92,3.05,bulk buyers
23.37,8.66,12.63,3.14,weekly regulars
70.35,1.75,9.38,7.11,bulk buyers
40.85,12.67,14.77,3.33,weekly regulars
129.13,0.99,8.52,9.11,bulk buyers
18.48,0.49,75.39,1.11,lapsed
26.95,7.62,9.49,1.27,weekly regulars
20.86,0.37,55.98,1.19,lapsed
119.98,1.87,12.4,6.34,bulk buyers
20.39,0.44,41.23,1.25,lapsed
29.67,9.81,8.24,2.72,weekly regulars
135.51,0.79,10.84,6.7,bulk buyers
17.69,1.56,32.8,1.49,bargain hunters
143.84,2.03,10.85,5.92,bulk buyers
59.12,1.97,7.88,6.16,bulk buyers
17.95,0.47,51.56,0.71,lapsed
23.52,6.14,8.86,2.93,weekly regulars
30.24,0.25,98.02,0.8,lapsed
15.22,2.0,87.07,1.24,bargain hunters
93.64,1.82,9.04,3.35,bulk buyers
40.95,0.52,51.96,1.25,lapsed
24.73,7.34,17.52,4.05,weekly regulars
165.25,3.48,25.51,1.83,unclassifiable
21.27,12.67,8.75,3.2,weekly regulars
