Amount,Hour,AccountAgeDays,CountriesUsed,PriorChargebacks,Fraud
45.27,5,1036.0,1,0,0
170.25,10,321.0,1,0,0
3.84,4,511.0,1,0,0
208.43,17,583.0,1,0,0
28.38,2,929.0,1,0,0
11.94,16,327.0,1,0,0
11.9,18,768.0,1,0,0
8.63,5,919.0,1,0,0
23.17,10,309.0,1,0,0
78.18,3,417.0,1,0,0
58.66,1,69.0,1,0,0
62.43,3,309.0,1,0,0
4.27,1,910.0,1,1,0
4.92,11,380.0,1,0,0
178.91,14,848.0,1,0,0
91.31,11,1215.0,1,0,0
368.96,8,625.0,2,0,0
120.46,9,1158.0,1,0,0
9.23,10,1140.0,1,1,0
131.38,17,524.0,1,0,0
61.72,13,1074.0,1,0,0
38.36,14,1090.0,1,0,0
11.67,14,254.0,1,0,0
30.06,22,630.0,1,0,0
25.3,5,616.0,1,0,0
83.63,4,215.0,1,0,0
34.58,23,372.0,1,0,0
185.39,14,409.0,1,0,0
12.3,11,186.0,1,1,0
51.51,18,867.0,1,0,0
53.18,14,395.0,1,0,0
11.09,21,868.0,1,0,0
7.7,14,1245.0,1,0,0
96.12,22,390.0,1,0,0
54.33,2,454.0,1,0,0
24.86,10,501.0,1,0,0
47.16,10,516.0,1,0,0
13.78,22,1212.0,1,0,0
39.41,21,239.0,1,0,0
14.94,10,426.0,1,0,0
37.23,5,211.0,1,0,0
93.13,18,176.0,1,0,0
20.28,22,225.0,2,0,0
79.62,18,135.0,1,0,0
9.12,4,118.0,1,0,0
21.5,5,74.0,1,0,0
6.24,14,510.0,1,0,0
26.69,15,349.0,1,0,0
32.8,0,214.0,1,0,0
23.88,10,415.0,1,0,0
22.02,15,1200.0,1,0,0
139.94,16,1282.0,1,0,0
154.06,0,211.0,1,0,0
7.4,0,521.0,1,0,0
115.61,2,278.0,1,0,0
4.13,23,305.0,1,0,0
12.88,2,375.0,2,0,0
24.55,11,491.0,1,0,0
34.05,3,274.0,1,1,0
8.98,0,351.0,1,0,0
13.05,5,8.0,1,0,0
32.73,18,568.0,1,0,0
13.5,6,291.0,1,0,0
14.33,20,128.0,1,0,0
64.47,0,560.0,1,0,0
87.49,6,692.0,1,0,0
27.96,4,512.0,3,1,0
30.6,11,453.0,2,0,0
29.3,2,360.0,3,0,0
17.77,9,864.0,1,0,0
16.64,16,1028.0,2,0,0
9.08,3,475.0,1,0,0
63.16,1,364.0,1,0,0
27.2,2,731.0,1,0,0
25.58,8,281.0,1,0,0
37.74,4,323.0,1,0,0
55.16,8,1118.0,1,0,0
153.58,21,412.0,1,0,0
21.88,17,395.0,1,0,0
18.89,10,288.0,1,0,0
37.74,8,405.0,1,0,0
11.33,1,517.0,1,0,0
129.45,13,784.0,1,0,0
86.94,16,102.0,1,0,0
66.55,22,121.0,1,0,0
26.11,0,51.0,1,0,0
70.14,19,473.0,1,0,0
100.26,18,1370.0,1,0,0
53.24,17,1228.0,2,0,0
21.72,12,204.0,1,0,0
4.32,17,963.0,1,1,0
89.03,9,370.0,1,0,0
19.96,11,352.0,1,0,0
11.36,2,407.0,1,0,0
83.45,10,260.0,1,0,0
44.21,20,598.0,1,0,0
5.86,20,356.0,1,0,0
26.74,12,244.0,1,0,0
21.99,8,931.0,1,0,0
93.83,13,933.0,1,0,0
3.39,3,100.0,2,0,0
19.23,18,295.0,2,0,0
25.56,21,926.0,1,0,0
153.2,9,811.0,1,0,0
8.62,9,88.0,1,0,0
1.02,12,530.0,1,0,0
6.1,21,494.0,1,0,0
40.55,7,227.0,1,0,0
76.02,0,41.0,1,1,0
219.99,3,115.0,1,0,0
47.52,11,142.0,2,0,0
11.91,1,633.0,1,0,0
82.85,12,1247.0,2,0,0
29.59,8,830.0,2,0,0
23.78,22,489.0,1,0,0
30.58,15,369.0,1,0,0
129.77,12,479.0,1,0,0
10.63,0,794.0,1,0,0
9.23,9,429.0,1,0,0
27.76,18,123.0,1,0,0
27.76,12,890.0,1,0,0
11.74,7,829.0,1,0,0
10.9,13,126.0,1,0,0
46.26,2,897.0,1,0,0
139.56,18,78.0,1,0,0
68.03,23,324.0,1,0,0
65.88,21,308.0,2,0,0
125.54,7,333.0,1,0,0
3.04,17,712.0,1,0,0
5.28,6,234.0,1,0,0
13.31,11,487.0,2,0,0
7.58,15,504.0,1,0,0
9.6,22,826.0,1,0,0
32.47,1,110.0,1,0,0
6.84,23,291.0,1,0,0
17.99,3,405.0,1,0,0
2.86,5,1131.0,1,0,0
9.78,17,833.0,1,0,0
140.81,20,830.0,1,0,0
16.05,3,492.0,1,0,0
43.5,4,509.0,1,0,0
67.65,15,390.0,1,0,0
17.04,0,554.0,1,0,0
58.32,20,598.0,1,0,0
38.35,14,235.0,1,0,0
66.82,6,344.0,2,0,0
14.43,14,866.0,1,0,0
5.72,20,301.0,1,0,0
9.25,5,287.0,1,0,0
15.83,14,795.0,1,0,0
55.49,5,284.0,1,0,0
23.69,20,430.0,1,0,0
18.94,11,462.0,1,0,0
24.37,4,852.0,1,0,0
106.14,7,533.0,1,0,0
15.46,14,338.0,1,1,0
170.38,22,493.0,1,0,0
7.3,11,340.0,1,0,0
15.16,20,142.0,1,0,0
80.1,23,129.0,1,0,0
54.35,21,359.0,1,0,0
11.2,9,280.0,1,0,0
26.43,9,550.0,1,0,0
13.26,6,379.0,1,0,0
79.73,18,603.0,3,0,0
55.74,21,361.0,1,0,0
13.2,5,576.0,1,0,0
47.31,10,358.0,1,0,0
19.64,23,234.0,1,0,0
27.59,20,362.0,2,0,0
32.28,14,18.0,1,0,0
15.66,17,423.0,1,0,0
48.85,11,236.0,1,0,0
50.87,14,892.0,1,0,0
48.9,16,184.0,1,0,0
106.73,3,549.0,2,0,0
21.92,20,340.0,1,0,0
5.45,18,743.0,1,0,0
17.07,2,383.0,1,0,0
37.74,10,143.0,1,0,0
30.73,18,63.0,1,0,0
58.29,9,369.0,1,0,0
75.75,9,1030.0,1,0,0
26.17,19,284.0,1,0,0
26.39,14,566.0,2,0,0
9.63,22,426.0,1,0,0
98.3,20,753.0,1,0,0
22.12,8,824.0,3,0,0
8.62,21,836.0,2,0,0
8.32,19,542.0,1,0,0
18.6,15,366.0,1,0,0
179.24,8,78.0,1,0,0
72.85,9,458.0,1,0,0
4.27,16,138.0,1,0,0
25.99,20,563.0,1,0,0
40.59,20,114.0,1,0,0
61.59,23,491.0,1,0,0
44.49,4,880.0,1,0,0
14.34,21,148.0,1,0,0
48.12,6,955.0,1,0,0
15.84,6,441.0,1,0,0
2.28,8,161.0,1,0,0
13.26,1,550.0,1,0,0
13.61,23,333.0,2,0,0
89.72,13,464.0,1,0,0
100.93,5,314.0,1,0,0
9.01,3,1081.0,1,0,0
36.6,19,178.0,1,0,0
33.24,19,577.0,1,0,0
5.75,8,413.0,1,0,0
2.83,12,496.0,1,0,0
26.93,17,203.0,2,1,0
35.05,15,425.0,1,0,0
15.12,7,741.0,1,0,0
1.33,15,718.0,1,0,0
28.97,14,265.0,1,0,0
15.4,10,383.0,1,0,0
10.77,10,235.0,1,0,0
20.64,14,385.0,2,0,0
8.18,8,376.0,3,0,0
57.04,13,1341.0,1,0,0
30.33,15,391.0,1,0,0
15.75,11,452.0,1,0,0
41.44,18,373.0,1,0,0
28.88,23,1042.0,1,0,0
5.23,22,318.0,1,0,0
25.39,23,430.0,3,0,0
17.71,7,2003.0,1,0,0
4.05,15,490.0,1,0,0
14.16,23,717.0,1,0,0
48.93,10,681.0,1,0,0
14.7,23,75.0,1,0,0
151.2,2,931.0,2,0,0
211.23,19,550.0,1,0,0
21.07,17,1054.0,1,0,0
56.62,3,958.0,2,0,0
296.35,19,408.0,1,0,0
20.47,4,448.0,1,0,0
10.66,23,375.0,1,0,0
18.44,8,64.0,1,0,0
6.17,18,1105.0,1,0,0
6.35,20,102.0,1,0,0
38.09,4,636.0,1,0,0
18.55,10,1151.0,1,0,0
